digit,correct_predictions,support,per_class_accuracy
0,971,980,0.9908163265306122
1,1127,1135,0.9929515418502203
2,1015,1032,0.9835271317829457
3,992,1010,0.9821782178217822
4,967,982,0.984725050916497
5,876,892,0.9820627802690582
6,939,958,0.9801670146137788
7,1007,1028,0.9795719844357976
8,947,974,0.9722792607802875
9,983,1009,0.9742319127849356
