accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
0.6252856850624084,0.6313848495483398,0.380212664604187,0.3110198974609375,0.6907433271408081,0.7073196172714233,0.7353333234786987,0.5501464009284973,0.5295785069465637,0.4065040647983551,0.6557376980781555,0.7810385227203369,0.0010000000474974513
0.7274285554885864,0.5568864941596985,0.5050606727600098,0.4053417146205902,0.7237026691436768,0.7912132740020752,0.7480000257492065,0.5043120980262756,0.601982831954956,0.42566192150115967,0.685245931148529,0.8080883622169495,0.0010000000474974513
0.7374285459518433,0.5254587531089783,0.5720973610877991,0.419719398021698,0.7552594542503357,0.8174771666526794,0.765999972820282,0.4809877574443817,0.639955461025238,0.45286884903907776,0.7245901823043823,0.8275904059410095,0.0010000000474974513
0.7434285879135132,0.5103660225868225,0.6090284585952759,0.4258219599723816,0.7447405457496643,0.8278757333755493,0.777999997138977,0.4700835645198822,0.6710436344146729,0.47154471278190613,0.7606557607650757,0.8439919948577881,0.0010000000474974513
0.7602857351303101,0.4906845688819885,0.6440247893333435,0.4484873116016388,0.769284725189209,0.8426040410995483,0.7906666398048401,0.4517632722854614,0.6867595911026001,0.49056604504585266,0.7672131061553955,0.851533055305481,0.0010000000474974513
0.7605714201927185,0.4881417453289032,0.6460649371147156,0.4482187330722809,0.7587657570838928,0.8432972431182861,0.7940000295639038,0.4417814612388611,0.6935323476791382,0.49567100405693054,0.7508196830749512,0.8556389212608337,0.0010000000474974513
0.772857129573822,0.48175790905952454,0.6557803153991699,0.46501705050468445,0.7643758654594421,0.8476378917694092,0.7926666736602783,0.44240516424179077,0.6988977789878845,0.49358972907066345,0.757377028465271,0.857854425907135,0.0010000000474974513
0.7734285593032837,0.47544386982917786,0.6654613018035889,0.46572408080101013,0.7622721195220947,0.8520143628120422,0.7960000038146973,0.43139156699180603,0.7019674777984619,0.4989010989665985,0.7442622780799866,0.858574628829956,0.0010000000474974513
0.7770000100135803,0.4740700423717499,0.6641666293144226,0.47058823704719543,0.7573632597923279,0.8530739545822144,0.7986666560173035,0.4333908259868622,0.7057314515113831,0.5032822489738464,0.7540983557701111,0.8597599267959595,0.0010000000474974513
0.7777143120765686,0.4747388958930969,0.6693927049636841,0.4717145264148712,0.7601683139801025,0.8528115153312683,0.8053333163261414,0.4258687198162079,0.7075421214103699,0.5148741602897644,0.7377049326896667,0.8607420921325684,0.0010000000474974513
0.7812857031822205,0.468669593334198,0.6702234148979187,0.47694334387779236,0.7615708112716675,0.8572603464126587,0.8033333420753479,0.43244534730911255,0.7102431058883667,0.5111111402511597,0.7540983557701111,0.8615255355834961,0.0010000000474974513
0.7825714349746704,0.4679338037967682,0.668186604976654,0.47881731390953064,0.760869562625885,0.8571419715881348,0.8053333163261414,0.4276641309261322,0.7117194533348083,0.5146726965904236,0.7475410103797913,0.8628425002098083,0.0010000000474974513
0.7814285755157471,0.46671953797340393,0.6704655289649963,0.47697076201438904,0.7552594542503357,0.8579567074775696,0.8019999861717224,0.4265559911727905,0.7123749256134033,0.5089285969734192,0.7475410103797913,0.8625324368476868,0.0010000000474974513
0.7870000004768372,0.45838138461112976,0.6885536909103394,0.48553627729415894,0.7650771141052246,0.8635905981063843,0.8106666803359985,0.4178643524646759,0.7149827480316162,0.5243619680404663,0.7409836053848267,0.8634543418884277,0.0010000000474974513
0.7874285578727722,0.46211519837379456,0.6766520142555237,0.4861111044883728,0.760869562625885,0.8611999154090881,0.809333324432373,0.42199596762657166,0.7154686450958252,0.52173912525177,0.7475410103797913,0.8638136982917786,0.0010000000474974513
0.7882857322692871,0.46363863348960876,0.6792932748794556,0.4874776303768158,0.7643758654594421,0.8595035672187805,0.8100000023841858,0.42519906163215637,0.7174690961837769,0.5229358077049255,0.7475410103797913,0.8646532297134399,0.0010000000474974513
0.7879999876022339,0.45882686972618103,0.6832010746002197,0.48681819438934326,0.7510519027709961,0.8627859950065613,0.8059999942779541,0.4231686592102051,0.7163022756576538,0.5157657861709595,0.7508196830749512,0.8642444610595703,0.0010000000474974513
0.7865714430809021,0.4615415632724762,0.6828964948654175,0.48457351326942444,0.7489480972290039,0.8614891171455383,0.8080000281333923,0.4243299961090088,0.7182784676551819,0.5192743539810181,0.7508196830749512,0.8645216226577759,0.0010000000474974513
0.7895714044570923,0.45858094096183777,0.6869206428527832,0.48940008878707886,0.760869562625885,0.8629641532897949,0.8106666803359985,0.4211491346359253,0.7173888683319092,0.5241379141807556,0.7475410103797913,0.8645380735397339,0.0010000000474974513
0.788428544998169,0.45437854528427124,0.6918896436691284,0.48762932419776917,0.7601683139801025,0.8662910461425781,0.8086666464805603,0.42446890473365784,0.7162823677062988,0.5203620195388794,0.7540983557701111,0.864499568939209,0.0010000000474974513
0.7924285531044006,0.4507250189781189,0.6935878992080688,0.4938608407974243,0.7615708112716675,0.8685110807418823,0.8059999942779541,0.4252703785896301,0.7190669775009155,0.5157657861709595,0.7508196830749512,0.8649042844772339,0.0005000000237487257
0.7948571443557739,0.4498935341835022,0.6923301219940186,0.49773550033569336,0.7706872224807739,0.8694940209388733,0.809333324432373,0.42043787240982056,0.72000652551651,0.521541953086853,0.7540983557701111,0.8651430606842041,0.0005000000237487257
0.7898571491241455,0.45057857036590576,0.6922121047973633,0.4898785352706909,0.7636746168136597,0.8688149452209473,0.809333324432373,0.4198490083217621,0.7214072942733765,0.5216400623321533,0.7508196830749512,0.8655655384063721,0.0005000000237487257
0.7915714383125305,0.45300620794296265,0.6918033957481384,0.49256423115730286,0.7664796710014343,0.8671358227729797,0.8066666722297668,0.4231019616127014,0.7209676504135132,0.5167037844657898,0.7606557607650757,0.8653473854064941,0.0005000000237487257
0.7881428599357605,0.45247364044189453,0.6939365267753601,0.4872254729270935,0.7622721195220947,0.867530882358551,0.8086666464805603,0.41975224018096924,0.7206364274024963,0.5203620195388794,0.7540983557701111,0.8653501868247986,0.0005000000237487257
0.7907142639160156,0.45140594244003296,0.6916075348854065,0.4911080598831177,0.7552594542503357,0.8677833080291748,0.8080000281333923,0.4205179512500763,0.7215423583984375,0.519362211227417,0.7475410103797913,0.8658961653709412,0.0005000000237487257
0.7925714254379272,0.44754791259765625,0.6962780356407166,0.4940639138221741,0.7587657570838928,0.8707844614982605,0.8066666722297668,0.4236960709095001,0.7217487096786499,0.516853928565979,0.7540983557701111,0.8658193349838257,0.0002500000118743628
