clv_output_loss,clv_output_mae,loss,retention_output_accuracy,retention_output_auc,retention_output_loss,val_clv_output_loss,val_clv_output_mae,val_loss,val_retention_output_accuracy,val_retention_output_auc,val_retention_output_loss,learning_rate
41484.91796875,139.01593017578125,41472.26953125,0.5401860475540161,0.5291573405265808,0.8549685478210449,34696.234375,133.85665893554688,39155.1640625,0.7082405090332031,0.7025785446166992,0.6238633394241333,0.0010000000474974513
40075.8515625,136.09715270996094,40060.734375,0.6448843479156494,0.6883047819137573,0.691698431968689,33400.11328125,130.9435577392578,37780.296875,0.6503340601921082,0.6985182762145996,0.6021509766578674,0.0010000000474974513
39093.53125,134.0808868408203,39078.00390625,0.6331982016563416,0.6821141242980957,0.6549486517906189,32276.2734375,128.3329315185547,36558.51953125,0.6325166821479797,0.6887551546096802,0.6023404002189636,0.0010000000474974513
38197.0390625,132.2113037109375,38182.078125,0.6336751580238342,0.6680596470832825,0.652252197265625,31162.400390625,125.74324798583984,35350.17578125,0.6380846500396729,0.6764585375785828,0.5955929756164551,0.0010000000474974513
37306.56640625,130.42884826660156,37291.44921875,0.6510851383209229,0.6792371273040771,0.6321839690208435,29990.0546875,123.02275085449219,34054.9765625,0.6525612473487854,0.7059366703033447,0.5773725509643555,0.0010000000474974513
36409.23046875,128.55877685546875,36395.11328125,0.6487002372741699,0.685067892074585,0.6208236217498779,28862.771484375,120.57405853271484,32815.78515625,0.6503340601921082,0.6861686706542969,0.5526298880577087,0.0010000000474974513
35470.58203125,126.66838836669922,35455.33203125,0.6613403558731079,0.6990536451339722,0.5992765426635742,27768.392578125,118.08353424072266,31581.869140625,0.6559020280838013,0.7150440812110901,0.5496272444725037,0.0010000000474974513
34476.4375,124.59393310546875,34457.40625,0.6577629446983337,0.6818404197692871,0.6031100153923035,27348.49609375,117.24712371826172,31120.732421875,0.634743869304657,0.6867018342018127,0.5544865131378174,0.0010000000474974513
33590.984375,122.8991928100586,33577.6796875,0.663009762763977,0.6925742626190186,0.5872054696083069,26343.09765625,114.98017883300781,29972.7734375,0.6481069326400757,0.7089603543281555,0.533350944519043,0.0010000000474974513
32571.21875,120.92288970947266,32556.0078125,0.672311007976532,0.6872045993804932,0.585283100605011,25305.697265625,112.86883544921875,28784.197265625,0.653674840927124,0.7065626382827759,0.5161223411560059,0.0010000000474974513
31534.552734375,118.72705841064453,31518.966796875,0.6732649803161621,0.6979814171791077,0.5713358521461487,24238.373046875,110.55182647705078,27550.51171875,0.6581291556358337,0.7197567820549011,0.5113400220870972,0.0010000000474974513
30464.79296875,116.84390258789062,30452.302734375,0.6808967590332031,0.6992784142494202,0.5622959733009338,23754.58984375,109.56474304199219,26954.888671875,0.6659242510795593,0.7056750655174255,0.5040920972824097,0.0010000000474974513
29584.994140625,114.90150451660156,29571.47265625,0.6935368180274963,0.7033484578132629,0.5582567453384399,22616.556640625,107.27632904052734,25652.2421875,0.6748329401016235,0.715670108795166,0.49537983536720276,0.0010000000474974513
28577.716796875,112.91036987304688,28560.751953125,0.7011685967445374,0.7132031917572021,0.5450375080108643,22058.453125,106.36174774169922,24957.208984375,0.6837416291236877,0.7063175439834595,0.4861511290073395,0.0010000000474974513
27584.23046875,110.94535827636719,27565.73828125,0.705938458442688,0.7094212174415588,0.5439822673797607,21885.5078125,105.95404052734375,24678.111328125,0.6759465336799622,0.6944712996482849,0.48315659165382385,0.0010000000474974513
26561.8984375,109.00237274169922,26541.814453125,0.6992606520652771,0.7049980163574219,0.5412651896476746,20966.443359375,104.24568176269531,23606.77734375,0.7060133814811707,0.7044861316680908,0.4778013527393341,0.0010000000474974513
25831.830078125,107.72040557861328,25815.96875,0.7052229642868042,0.7144957780838013,0.5307662487030029,20845.68359375,103.58670806884766,23472.767578125,0.6982182860374451,0.7086986899375916,0.4886186122894287,0.0010000000474974513
25008.15625,106.23204803466797,24987.173828125,0.7097543478012085,0.7188129425048828,0.5266755819320679,20063.734375,102.32266235351562,22510.890625,0.711581289768219,0.7285395860671997,0.47560620307922363,0.0010000000474974513
24304.591796875,104.8824462890625,24293.21875,0.7204865217208862,0.7188058495521545,0.5233197808265686,19658.216796875,101.86772155761719,22037.109375,0.7082405090332031,0.7057148218154907,0.47922348976135254,0.0010000000474974513
23654.51953125,103.5977783203125,23640.171875,0.723586916923523,0.7219772338867188,0.518734872341156,19241.671875,101.48430633544922,21560.248046875,0.7126948833465576,0.6982566714286804,0.4760737121105194,0.0010000000474974513
22884.943359375,102.3320083618164,22874.08984375,0.7264488339424133,0.7229841947555542,0.516020655632019,19357.181640625,101.890380859375,21418.232421875,0.7104676961898804,0.7235885858535767,0.47470030188560486,0.0010000000474974513
22358.041015625,101.63082122802734,22347.357421875,0.7276412844657898,0.7271897196769714,0.5116418600082397,19246.822265625,101.6198959350586,21431.13671875,0.711581289768219,0.7274765372276306,0.48023688793182373,0.0010000000474974513
21714.984375,100.40299224853516,21695.662109375,0.7343190908432007,0.7311358451843262,0.508463978767395,18969.5390625,101.60137939453125,21108.228515625,0.7171491980552673,0.7103943824768066,0.4753049612045288,0.0010000000474974513
21201.134765625,99.77594757080078,21189.0,0.7367040514945984,0.7315332293510437,0.5049705505371094,19005.427734375,101.90418243408203,20624.455078125,0.7260578870773315,0.7099803686141968,0.46652692556381226,0.0010000000474974513
20914.220703125,99.50376892089844,20902.015625,0.7278798222541809,0.7278988361358643,0.5054453015327454,18802.5,102.0337142944336,20573.86328125,0.7138084769248962,0.709861159324646,0.4734611511230469,0.0010000000474974513
20536.708984375,98.86180114746094,20525.513671875,0.7347961068153381,0.7295117974281311,0.5011446475982666,18587.396484375,102.31196594238281,20717.33984375,0.7249442934989929,0.7312023043632507,0.4767685830593109,0.0010000000474974513
20171.689453125,98.65866088867188,20164.95703125,0.7457667589187622,0.7453765273094177,0.4925253391265869,18609.130859375,102.32042694091797,20523.943359375,0.737193763256073,0.7332821488380432,0.47063708305358887,0.0010000000474974513
