model,accuracy,precision,recall,f1,roc_auc,log_loss
Embedding_ANN,0.6706,0.5436179981634527,0.6445291235710398,0.5897882938978829,0.7293945147958902,0.5994151669392862
RandomForest,0.6772,0.6755905511811023,0.23353293413173654,0.3470873786407767,0.7224605197101557,0.5960944495283982
