accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.5748124718666077,0.6245566010475159,0.7058224678039551,0.6607499718666077,0.6719338893890381,0.6428362131118774,0.0010000000474974513
0.616937518119812,0.6667729616165161,0.6597852110862732,0.6602500081062317,0.6792869567871094,0.6349173784255981,0.0010000000474974513
0.6351249814033508,0.6843914985656738,0.6426702737808228,0.668749988079071,0.6879268884658813,0.6217066645622253,0.0010000000474974513
0.6423749923706055,0.6981702446937561,0.6327945590019226,0.6654999852180481,0.6963895559310913,0.6134845614433289,0.0010000000474974513
0.6466249823570251,0.7050570249557495,0.6272108554840088,0.6682500243186951,0.7012094259262085,0.6068400740623474,0.0010000000474974513
0.6585624814033508,0.7150167226791382,0.6198300123214722,0.6622499823570251,0.7048130035400391,0.6062074303627014,0.0010000000474974513
0.6542500257492065,0.7136092185974121,0.6200664043426514,0.6612499952316284,0.7055642604827881,0.6069203615188599,0.0010000000474974513
0.659500002861023,0.7199013829231262,0.6155635118484497,0.659250020980835,0.7066426873207092,0.6079878211021423,0.0010000000474974513
0.6635624766349792,0.7230234146118164,0.6141720414161682,0.6585000157356262,0.7079058289527893,0.6087109446525574,0.0010000000474974513
0.6654375195503235,0.7265282273292542,0.6101237535476685,0.6597499847412109,0.7079238295555115,0.6114574074745178,0.0005000000237487257
0.6611875295639038,0.7228481769561768,0.6129090189933777,0.6600000262260437,0.7077483534812927,0.6112606525421143,0.0005000000237487257
0.663687527179718,0.7273186445236206,0.6081344485282898,0.6582499742507935,0.7082662582397461,0.6118515133857727,0.0005000000237487257
0.6647499799728394,0.7257716655731201,0.6110406517982483,0.6572499871253967,0.7084423899650574,0.6116389036178589,0.0002500000118743628
0.6686875224113464,0.7303887605667114,0.6068349480628967,0.6572499871253967,0.7084072232246399,0.6119318604469299,0.0002500000118743628
0.6653125286102295,0.7268186807632446,0.6101159453392029,0.6567500233650208,0.7083065509796143,0.6122809648513794,0.0002500000118743628
0.6676250100135803,0.7302669286727905,0.6080772280693054,0.6567500233650208,0.7080998420715332,0.6120259761810303,0.0001250000059371814
0.6658124923706055,0.7280346155166626,0.6097685098648071,0.656000018119812,0.7081796526908875,0.6128568649291992,0.0001250000059371814
0.6650624871253967,0.7285848259925842,0.6078647971153259,0.65625,0.7081191539764404,0.6127200126647949,0.0001250000059371814
0.6620625257492065,0.7267895936965942,0.6104198098182678,0.656000018119812,0.7081208825111389,0.6126841306686401,6.25000029685907e-05
