,precision,recall,f1-score,support
0,0.9996014722085472,0.9998124179328456,0.9997069339429108,42648.0
1,0.8769230769230769,0.7702702702702703,0.8201438848920863,74.0
accuracy,0.9994148214034924,0.9994148214034924,0.9994148214034924,0.9994148214034924
macro avg,0.938262274565812,0.8850413441015579,0.9099254094174986,42722.0
weighted avg,0.9993889774458693,0.9994148214034924,0.9993959076419473,42722.0
